Batata Asada,"Batata, aceite de oliva, sal, pimienta, romero",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Precalienta el horno a 200°C, lava y corta las batatas en rodajas, colócalas en una bandeja, rocía con aceite de oliva, sal, pimienta y romero, y hornea durante 25-30 minutos hasta que estén doradas y tiernas",
Batido de Plátano y Fresas,"Plátano, fresas, leche, yogur, miel",Bebida,"Vegetariano, Lacto-vegetariano, Omnívoro","Coloca el plátano, las fresas, la leche, el yogur y la miel en una licuadora, mezcla hasta obtener una textura suave y sirve frío",
Burritos de Pollo,"Tortillas, pollo, frijoles, queso, salsa",Plato principal,"Flexitariano, Omnívoro","Cocina el pollo hasta que esté bien cocido, calienta las tortillas, coloca el pollo, los frijoles, el queso y la salsa en las tortillas, enrolla y sirve",
Bruschetta,"Pan, tomate, albahaca, ajo, aceite de oliva",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Tosta las rebanadas de pan, frota con ajo, agrega tomate picado, albahaca y un chorrito de aceite de oliva",
Chili con Carne,"Carne molida, frijoles, tomate, cebolla, chile en polvo",Plato principal,"Flexitariano, Omnívoro","Cocina la carne con cebolla hasta que esté dorada, agrega los frijoles, el tomate y el chile en polvo, cocina a fuego lento durante 20 minutos",
Croquetas de Jamón,"Jamón, leche, harina, mantequilla, pan rallado",Aperitivo,Omnívoro,"Haz una bechamel con leche, harina y mantequilla, añade el jamón picado, deja enfriar, forma croquetas, pásalas por pan rallado y fríelas hasta dorar",
Ensalada Caprese,"Tomate, mozzarella, albahaca, aceite de oliva, sal",Acompañamiento,"Vegetariano, Lacto-vegetariano, Omnívoro","Corta el tomate y la mozzarella en rodajas, acomoda en un plato alternando, añade hojas de albahaca, rocía con aceite de oliva y sazona con sal",
Ensalada César,"Lechuga, pollo, crutones, queso parmesano, aderezo César",Acompañamiento,"Flexitariano, Omnívoro","Mezcla la lechuga con pollo cocido en trozos, añade crutones y queso parmesano rallado, y sirve con aderezo César",
Ensalada de Frutas,"Fresas, plátano, manzana, uvas, jugo de naranja",Postre,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Corta las frutas en trozos, mezcla en un bol y rocía con jugo de naranja",
Ensalada de Pepino y Yogur,"Pepino, yogur, ajo, menta, sal",Acompañamiento,"Vegetariano, Lacto-vegetariano, Omnívoro","Pela y corta el pepino, mézclalo con yogur, ajo picado, menta y sal al gusto",
Ensalada de Quinoa,"Quinoa, pepino, tomate, cebolla, limón",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Cocina la quinoa según las instrucciones del paquete, mezcla con pepino, tomate y cebolla picados, y adereza con jugo de limón",
Espaguetis Aglio e Olio,"Espaguetis, ajo, aceite de oliva, guindilla, perejil",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Cocina los espaguetis, mientras tanto, sofríe ajo y guindilla en aceite de oliva, mezcla con los espaguetis cocidos y añade perejil picado",
Falafel,"Garbanzos, ajo, cebolla, cilantro, comino",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Tritura los garbanzos con ajo, cebolla, cilantro y comino, forma bolitas y fríelas hasta que estén doradas",
Galletas de Mantequilla,"Mantequilla, azúcar, harina, huevo, esencia de vainilla",Postre,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Mezcla la mantequilla con el azúcar, añade el huevo y la vainilla, incorpora la harina, forma galletas y hornea a 180°C por 10-12 minutos",
Gambas al Ajillo,"Gambas, ajo, guindilla, aceite de oliva, perejil",Aperitivo,"Pescetariano, Flexitariano, Omnívoro","Sofríe el ajo y la guindilla en aceite de oliva, añade las gambas y cocina hasta que estén rosadas, espolvorea con perejil picado",
Gazpacho,"Tomate, pepino, pimiento, ajo, aceite de oliva",Sopa,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Licua todos los ingredientes hasta obtener una mezcla homogénea, refrigera y sirve frío",
Guacamole,"Aguacate, tomate, cebolla, cilantro, limón",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Machaca los aguacates, mezcla con tomate, cebolla, cilantro picados y jugo de limón, sazona al gusto",
Hummus,"Garbanzos, tahini, limón, ajo, aceite de oliva",Aperitivo,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Tritura los garbanzos con tahini, jugo de limón, ajo y aceite de oliva hasta obtener una pasta suave",
Mousse de Chocolate,"Chocolate, nata, azúcar, huevo, mantequilla",Postre,Omnívoro,"Derrite el chocolate con la mantequilla, deja enfriar, bate las yemas con azúcar y añade al chocolate, monta las claras y la nata, incorpora suavemente a la mezcla de chocolate y refrigera",
Omelette de Queso,"Huevo, queso, leche, sal, pimienta",Desayuno,"Vegetariano, Ovo-vegetariano, Omnívoro","Bate los huevos con leche, sal y pimienta, vierte en una sartén caliente, añade el queso rallado y cocina hasta que el huevo esté cuajado",
Pan de Plátano,"Plátanos, harina, azúcar, huevo, mantequilla",Postre,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Mezcla los plátanos machacados con azúcar, huevo y mantequilla derretida, añade la harina, vierte en un molde y hornea a 180°C por 50-60 minutos",
Pancakes,"Harina, leche, huevo, azúcar, mantequilla",Desayuno,"Vegetariano, Ovo-vegetariano, Flexitariano, Omnívoro","Mezcla la harina con leche, huevo y azúcar, vierte pequeñas porciones en una sartén con mantequilla derretida y cocina hasta que aparezcan burbujas, voltea y cocina hasta dorar",
Pasta al Pesto,"Pasta, albahaca, piñones, ajo, queso parmesano",Plato principal,"Vegetariano, Lacto-vegetariano, Omnívoro","Cocina la pasta, mientras tanto, tritura la albahaca, piñones, ajo y queso parmesano con aceite de oliva, mezcla con la pasta cocida",
Pasta Carbonara,"Pasta, panceta, huevo, queso parmesano, ajo",Plato principal,"Flexitariano, Omnívoro","Cocina la pasta, dora la panceta con ajo, mezcla el huevo con queso parmesano rallado, combina todo con la pasta caliente fuera del fuego",
Pollo al Limón,"Pechuga de pollo, limón, ajo, aceite de oliva, sal",Plato principal,"Flexitariano, Omnívoro","Marina el pollo con jugo de limón, ajo picado y aceite de oliva, cocina en una sartén hasta que esté dorado y cocido",
Puré de Papas,"Papas, mantequilla, leche, sal, pimienta",Acompañamiento,"Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Hierve las papas peladas hasta que estén tiernas, machácalas con mantequilla y leche caliente, sazona con sal y pimienta",
Quesadillas,"Tortillas de maíz, queso, pollo desmenuzado, cebolla, salsa",Aperitivo,"Flexitariano, Omnívoro","Coloca una tortilla en una sartén caliente, añade queso, pollo, cebolla y salsa, cubre con otra tortilla y cocina hasta que esté dorada por ambos lados",
Ratatouille,"Berenjena, calabacín, pimiento rojo, tomate, cebolla",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Corta todas las verduras en rodajas, coloca en un molde alternando, rocía con aceite de oliva y hornea a 180°C durante 45 minutos",
Salmón al Horno,"Filete de salmón, limón, aceite de oliva, sal, pimienta",Plato principal,"Pescetariano, Flexitariano, Omnívoro","Coloca el salmón en una bandeja para hornear, exprime limón, rocía con aceite de oliva, sazona con sal y pimienta, hornea a 180°C durante 15-20 minutos",
Tacos de Camarones,"Tortillas de maíz, camarones, aguacate, repollo, salsa",Aperitivo,"Pescetariano, Flexitariano, Omnívoro","Cocina los camarones hasta que estén rosados, arma los tacos con camarones, aguacate, repollo rallado y salsa",
Udon Salteado,"Fideos udon, pollo, pimiento, cebolla, salsa de soja",Plato principal, ,"Cocina los fideos según las instrucciones del paquete, saltea el pollo con pimiento y cebolla, agrega los fideos cocidos y la salsa de soja, saltea hasta que esté bien combinado",
Vichyssoise,"Papa, puerro, caldo de verduras, crema, mantequilla",Sopa,"Vegetariano, Lacto-vegetariano"," Sofríe el puerro en mantequilla, agrega las papas en cubos y el caldo de verduras, cocina hasta que las papas estén tiernas, tritura, añade la crema, calienta y sirve frío",
Wok de Verduras,"Brócoli, zanahoria, pimiento, champiñones, salsa de soja",Plato principal,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Saltea todas las verduras en un wok con un poco de aceite, añade salsa de soja y cocina hasta que estén tiernas",
Arroz con Leche,"Arroz, leche, azúcar, canela, vainilla",Postre,"Vegetariano, Lacto-vegetariano, Omnívoro","Cocina el arroz en leche con azúcar, canela y vainilla a fuego lento hasta que esté cremoso","Cocina el arroz en leche con azúcar, canela y vainilla a fuego lento hasta que esté cremoso"
Arroz Frito,"Arroz cocido, huevo, cebolla, zanahoria, salsa de soja",Plato principal,"Ovo-vegetariano, Flexitariano, Omnívoro","Saltea la cebolla y la zanahoria, agrega el arroz y el huevo batido, cocina hasta que el huevo esté cocido, añade la salsa de soja y mezcla bien",
Brócoli al Vapor con Ajo,"Brócoli, ajo, aceite de oliva, sal, pimienta",Acompañamiento,"Vegano, Vegetariano, Lacto-vegetariano, Ovo-vegetariano, Pescetariano, Flexitariano, Omnívoro","Cocina el brócoli al vapor, saltea el ajo en aceite de oliva, mezcla con el brócoli, sazona con sal y pimienta",
Brócoli con Queso,"Brócoli, queso cheddar, leche, harina, mantequilla",Acompañamiento,"Vegetariano, Lacto-vegetariano, Omnívoro","Cocina el brócoli al vapor, prepara una salsa con leche, harina y mantequilla, añade el queso rallado hasta que se derrita, vierte sobre el brócoli y sirve",